transaction,txTime (ms),propagationTime (ms)
0,2070,6
1,5046,5
2,4051,584
3,5045,5
4,5050,4
5,5050,4
6,5043,6
7,5057,6
8,5053,3
9,4053,612
10,5051,7
11,5072,9
12,5074,5
13,5034,3
14,5039,3
15,5037,7
16,4066,591
17,5078,5
18,5043,4
19,5037,4
20,5031,4
21,5042,2
22,5030,4
23,5034,3
24,5035,4
25,4045,590
26,5039,3
27,5035,3
28,5032,3
29,5039,5
30,5041,3
31,5054,4
32,5042,5
33,4076,637
34,5057,3
35,5038,3
36,5034,4
37,5034,3
38,5053,3
39,5029,3
40,5028,2
41,5032,3
42,4043,596
43,5040,4
44,5048,3
45,5026,3
46,5036,3
47,5031,5
48,5039,3
49,5034,4
50,5033,3
51,5032,4
52,4034,617
53,5057,4
54,5035,3
55,5027,3
56,5031,3
57,5063,4
58,5028,4
59,5040,3
60,5031,4
61,4037,623
62,5046,4
63,5057,2
64,5028,3
65,5035,3
66,5033,3
67,5038,3
68,5029,4
69,5040,2
70,5031,5
71,4042,582
72,5042,4
73,5029,6
74,5041,4
75,5046,3
76,5033,3
77,5036,3
78,5038,3
79,5037,3
80,5035,3
81,4042,593
82,5057,3
83,5031,6
84,5059,3
85,5029,3
86,5030,2
87,5036,2
88,5031,3
89,5026,3
90,5037,3
91,4037,600
92,5046,4
93,5031,3
94,5034,3
95,5042,3
96,5036,3
97,5037,2
98,5029,2
99,5031,3
100,5029,2
101,4030,620
102,5065,3
103,5032,6
104,5049,5
105,5052,5
106,5048,5
107,5043,4
108,4061,619
109,5051,4
110,5042,3
111,5031,5
112,5038,4
113,5033,4
114,5056,5
115,5048,3
116,5040,4
117,4033,609
118,5034,5
119,5030,4
120,5050,3
121,5031,3
122,5030,3
123,5033,3
124,5036,3
125,5038,3
126,5035,3
127,4040,589
128,5042,3
129,5037,4
130,5030,3
131,5046,2
132,5032,3
133,5037,3
134,5029,3
135,5030,3
136,5029,3
137,4050,620
138,5037,3
139,5029,6
140,5034,3
141,5034,3
142,5033,3
143,5037,3
144,5042,6
145,5042,3
146,5032,2
147,4029,608
148,5032,4
149,5040,3
150,5029,3
151,5030,3
152,5028,4
153,5030,3
154,5036,3
155,5029,3
156,5034,4
157,5038,3
158,4026,613
159,5027,19
160,5041,3
161,5032,4
162,5089,6
163,5041,4
164,5031,3
165,5029,3
166,5024,3
167,4040,596
168,5037,3
169,5026,7
170,5041,4
171,5043,5
172,5040,6
173,5050,4
174,5041,5
175,5045,7
176,4039,615
177,5044,3
178,5039,5
179,5041,3
180,5038,4
181,5036,3
182,5039,4
183,5035,3
184,5040,3
185,4034,603
186,5044,6
187,5050,6
188,5031,3
189,5028,3
190,5032,2
191,5042,3
192,5031,4
193,5042,3
194,5027,3
195,4046,585
196,5045,3
197,5033,3
198,5030,3
199,5026,2
200,5029,3
201,5029,3
202,5028,2
203,5032,3
204,5028,3
205,5034,3
206,5032,3
207,4030,587
208,5071,3
209,5029,7
210,5031,2
211,5034,3
212,5036,2
213,5034,6
214,5041,2
215,5042,3
216,5025,3
217,4029,606
218,5046,3
219,5030,2
220,5028,3
221,5025,3
222,5031,3
223,5032,3
224,5034,2
225,5028,2
226,5034,3
227,5028,3
228,4049,593
229,5052,2
230,5026,3
231,5030,3
232,5030,3
233,5045,3
234,5025,3
235,5032,2
236,5026,3
237,5032,3
238,5028,3
239,4034,612
240,5034,4
241,5032,3
242,5028,3
243,5035,3
244,5079,2
245,5041,3
246,5030,2
247,5032,3
248,5024,3
249,4031,605
250,5046,2
251,5031,5
252,5040,4
253,5042,4
254,5040,4
255,5045,4
256,5041,5
257,5040,6
258,4044,602
259,5053,3
260,5030,4
261,5039,6
262,5029,4
263,5035,3
264,5030,2
265,5031,3
266,5026,3
267,5036,3
268,5030,12
269,4038,577
270,5053,3
271,5035,3
272,5035,2
273,5030,3
274,5035,3
275,5029,3
276,5039,5
277,5046,3
278,5028,4
279,4035,609
280,5037,3
281,5029,3
282,5025,2
283,5031,2
284,5032,2
285,5031,7
286,5035,3
287,5035,4
288,5029,3
289,5029,3
290,4030,603
291,5036,3
292,5033,3
293,5026,2
294,5032,4
295,5033,2
296,5034,2
297,5030,3
298,5036,3
299,5026,2
300,5025,3
301,5027,3
302,4029,599
303,5053,3
304,5027,3
305,5037,3
306,5031,2
307,5034,3
308,5028,2
309,5031,3
310,5032,3
311,5030,3
312,5026,3
313,4047,603
314,5039,3
315,5034,3
316,5026,3
317,5054,2
318,5028,3
319,5029,3
320,5031,2
321,5035,3
322,5026,3
323,5031,3
324,4034,600
325,5036,3
326,5037,3
327,5028,3
328,5034,3
329,5028,3
330,5034,3
331,5026,3
332,5030,3
333,5033,2
334,5037,3
335,4028,615
336,5039,3
337,5030,3
338,5031,2
339,5026,4
340,5031,3
341,5036,2
342,5034,3
343,5035,3
344,5036,3
345,5043,3
346,4032,620
347,5054,3
348,5033,3
349,5027,3
350,5047,3
351,5031,3
352,5036,4
353,5032,4
354,5034,4
355,4037,634
356,5034,3
357,5032,6
358,5040,3
359,5038,2
360,5027,3
361,5034,3
362,5029,3
363,5033,3
364,5031,3
365,4055,596
366,5048,3
367,5033,3
368,5031,3
369,5050,3
370,5028,2
371,5034,4
372,5050,3
373,5035,2
374,5026,2
375,4036,616
376,5039,6
377,5034,3
378,5039,4
379,5037,3
380,5038,3
381,5031,3
382,5038,3
383,5035,10
384,4072,595
385,5033,3
386,5036,4
387,5080,2
388,5037,2
389,5033,4
390,5031,3
391,5036,2
392,5035,3
393,4045,619
394,5060,2
395,5027,3
396,5034,2
397,5029,2
398,5028,3
399,5032,2
400,5041,3
401,5031,4
402,5038,3
403,4028,613
404,5050,2
405,5026,2
406,5030,3
407,5031,3
408,5035,2
409,5027,2
410,5031,3
411,5032,3
412,5033,3
413,5024,3
414,4040,609
415,5031,2
416,5028,3
417,5047,2
418,5023,3
419,5031,3
420,5029,2
421,5027,2
422,5033,2
423,5029,2
424,5035,2
425,5030,4
426,4047,575
427,5037,3
428,5049,4
429,5031,3
430,5027,3
431,5027,3
432,5030,3
433,5025,3
434,5033,3
435,5034,3
436,5039,3
437,4032,596
438,5045,3
439,5028,2
440,5033,3
441,5031,3
442,5028,3
443,5030,3
444,5034,4
445,5035,3
446,5027,2
447,5034,2
448,5029,2
449,4027,602
450,5045,3
451,5029,3
452,5031,3
453,5025,2
454,5044,4
455,5036,3
456,5032,3
457,5026,2
458,5032,3
459,5032,3
460,4082,562
